State,epsilon,true_mean,true_median,true_stdev,dp_mean_laplace,dp_median_laplace,dp_stdev_laplace,dp_mean_gaussian,dp_median_gaussian,dp_stdev_gaussian,abs_err_mean_lap,abs_err_median_lap,abs_err_stdev_lap,abs_err_mean_gauss,abs_err_median_gauss,abs_err_stdev_gauss
Mississippi,0.1,49090.0056057303,35809.0,40347.291186546245,49246.46904397216,35740.998203199524,41727.95295900484,45042.42159497414,33440.03298093682,41368.9188529204,156.46343824185897,68.00179680047586,1380.6617724585958,4047.58401075616,2368.9670190631805,1021.6276663741519
Missouri,0.1,57542.84885714286,43964.0,41869.33185714285,57541.68531832066,43817.76384977736,41877.43099776708,58496.01940463402,42399.61275677944,42272.995014059255,1.1635388221984613,146.2361502226413,8.099140624224674,953.1705474911578,1564.3872432205608,403.66315691640193
Montana,0.1,58254.98650472335,46468.0,44113.906882591094,59033.64563324609,49579.15775930362,37639.58813674152,58172.45695612562,41643.96490462523,36270.32185770126,778.6591285227405,3111.15775930362,6474.318745849574,82.5295485977258,4824.035095374769,7843.585024889835
Nebraska,0.1,62938.65395787945,51751.5,43866.86129266521,62013.42333029307,53181.277703344065,46152.436540847106,63563.03775236861,49335.71589712989,36585.46636580284,925.2306275863739,1429.7777033440652,2285.5752481818927,624.3837944891638,2415.7841028701077,7281.394926862376
Nevada,0.1,64949.36737000754,54657.0,44575.22569706104,64501.7867907868,54612.72143626022,42154.714236892956,58912.816005161134,54662.56521221164,44093.91793004435,447.5805792207393,44.27856373978284,2420.5114601680834,6036.551364846404,5.565212211637117,481.30776701668947
New Hampshire,0.1,78389.863878327,68590.0,53216.276045627375,77431.37416241723,67343.8031962245,54928.88865640392,93922.2289402551,57834.9506435651,60859.282880247,958.4897159097745,1246.1968037754996,1712.612610776545,15532.365061928096,10755.049356434902,7643.006834619628
New Jersey,0.1,89249.17429022082,79926.0,58062.17282559712,89381.8653622802,79934.07938432568,57574.462118071766,87893.60818332894,80398.71780349969,58854.381753075315,132.69107205937325,8.07938432568335,487.7107075253516,1355.5661068918853,472.7178034996905,792.2089274781974
New Mexico,0.1,56187.235,43261.5,42956.05458333333,56297.82254883658,40686.59258741593,43594.392066162036,53742.22143748179,35847.4138231694,38131.98369131886,110.58754883657821,2574.9074125840707,638.3374828287051,2445.0135625182083,7414.086176830599,4824.070892014468
New York,0.1,75745.79503565805,60819.0,53001.25761785681,75572.16720833526,60729.07686844765,53215.37966781127,75186.43204595959,60743.82239705359,52145.20909803982,173.62782732279447,89.92313155235024,214.1220499544579,559.3629896984639,75.17760294640902,856.0485198169918
North Carolina,0.1,58557.675663861875,43739.0,43952.42694787455,58295.36348319821,43815.34230133185,43955.2355786333,56810.27557534437,44075.85124406006,42646.07178396221,262.31218066366273,76.34230133185338,2.808630758750951,1747.4000885175046,336.8512440600607,1306.3551639123398
North Dakota,0.1,67635.42953586498,56572.0,48591.17130801688,64943.75180951183,55907.41683242441,43452.95411299703,49191.3359383741,49287.67581136335,61606.55503724406,2691.677726353155,664.5831675755908,5138.217195019846,18444.093597490886,7284.324188636652,13015.383729227186
Ohio,0.1,60080.73095732069,47907.5,42999.01192946058,58704.73026510487,47871.976404173525,42905.24801978259,58838.19771954773,48630.83465636635,43295.76076913851,1376.000692215821,35.523595826474775,93.76390967798943,1242.5332377729574,723.3346563663508,296.74883967792994
Oklahoma,0.1,56574.45679783469,42745.0,42770.957526545906,56051.3839107308,42393.55217146454,41779.001268387394,56873.23624582523,40360.227310343165,43885.15170381323,523.0728871038882,351.4478285354635,991.9562581585124,298.7794479905424,2384.7726896568347,1114.1941772673235
Oregon,0.1,63958.41371280725,51082.0,46536.53505821475,63484.50306756937,48949.77363454422,46439.669295405605,68752.76619642887,49568.96662615972,48122.10493994254,473.91064523787645,2132.226365455783,96.86576280914596,4794.352483621624,1513.033373840277,1585.569881727788
Pennsylvania,0.1,65502.47090341834,52457.0,46881.80412371134,65355.1341740586,52478.76090418478,46883.05226233414,65643.91423949804,50961.446833658294,47433.90502293308,147.33672935974027,21.760904184782703,1.2481386227955227,141.44333607970475,1495.553166341706,552.1008992217394
Puerto Rico,0.1,27613.839736842107,17349.5,25314.11894736842,26786.010278411788,17218.579160496836,24601.78159341083,24865.158221509246,10615.177968485143,27060.11163847575,827.8294584303185,130.92083950316373,712.3373539575914,2748.6815153328607,6734.322031514857,1745.9926911073308
Rhode Island,0.1,72224.26940639269,61364.0,51873.56438356164,72596.04482633842,65415.278992849795,51603.43324739736,80766.21322865403,44003.25998211806,51425.7436568415,371.77541994572675,4051.278992849795,270.1311361642802,8541.943822261339,17360.740017881937,447.8207267201433
South Carolina,0.1,55413.45870560035,41190.0,42930.06580954456,55091.038622640655,41458.65794520514,44506.12761309886,53925.8957818862,38098.93250719635,43518.883895926076,322.4200829596957,268.65794520513737,1576.0618035543012,1487.5629237141475,3091.0674928036533,588.8180863815141
South Dakota,0.1,58639.960876369325,48758.0,42845.255086071986,59607.40132699425,49818.89092646836,44813.25942728757,68629.67706109583,42028.67251120486,34270.276297914774,967.4404506249266,1060.8909264683607,1968.0043412155865,9989.716184726509,6729.327488795141,8574.978788157212
Tennessee,0.1,56584.582540203475,41515.0,42720.13849688218,57089.71448301098,41543.38319983421,43168.401732270955,54755.83819339968,39866.20342033543,45168.47761934398,505.1319428075076,28.383199834206607,448.2632353887748,1828.7443468037964,1648.796579664573,2448.3391224618026
Texas,0.1,65528.01508105524,49835.0,46326.22121778435,65518.9355825927,49968.36072793299,46231.899609132444,66911.10601624292,50034.19067040834,46857.26850079233,9.07949846253905,133.36072793298808,94.32160865190235,1383.0909351876835,199.1906704083376,531.0472830079816
Utah,0.1,72216.35826620637,62922.0,47094.02032988109,72771.87343099684,63389.457732597424,48646.68110892437,75606.65495686355,64009.05897585067,39046.20088704607,555.5151647904713,467.4577325974242,1552.6607790432827,3390.296690657182,1087.0589758506685,8047.819442835018
Vermont,0.1,65696.36275695285,54891.0,49079.48972188633,75866.6230995725,51296.996985113525,44728.0133726222,105109.09196751619,38752.46130448746,62461.704965323916,10170.260342619658,3594.0030148864753,4351.476349264136,39412.72921056334,16138.538695512543,13382.215243437582
Virginia,0.1,79932.47650579397,64103.0,50938.72367248186,80895.17855152348,64853.630880432975,51475.67168510019,79057.34052001599,62609.4753984577,49262.43075690029,962.7020457295148,750.6308804329747,536.9480126183335,875.1359857779753,1493.5246015423036,1676.2929155815655
Washington,0.1,75276.7911576498,64156.0,50702.7310936591,74940.32603781713,64706.60434936076,52301.50146908381,74892.06721973386,64387.57478942982,51245.21850708398,336.46511983267555,550.6043493607576,1598.770375424705,384.7239379159437,231.57478942981834,542.4874134248748
West Virginia,0.1,52394.05379365716,39983.0,41937.77679646728,53040.132680853654,39372.79280918301,42321.68081872271,52688.176804134506,45214.25579549229,39955.29925136738,646.0788871964905,610.2071908169892,383.90402225542493,294.1230104773422,5231.255795492289,1982.4775450999005
